"case_number","case_title","petition_date"
A-533-852,Circular Welded Carbon-Quality Steel Pipe From India,2011-10-26 00:00:00
A-523-801,Circular Welded Carbon-Quality Steel Pipe From Oman,2011-10-26 00:00:00
C-533-853,Circular Welded Carbon-Quality Steel Pipe From India,2011-10-26 00:00:00
A-520-805,Circular Welded Carbon-Quality Steel Pipe From United Arab Emirates,2011-10-26 00:00:00
A-552-811,Circular Welded Carbon-Quality Steel Pipe From Vietnam,2011-10-26 00:00:00
C-520-806,Circular Welded Carbon-Quality Steel Pipe From United Arab Emirates,2011-10-26 00:00:00
C-523-802,Circular Welded Carbon-Quality Steel Pipe From Oman,2011-10-26 00:00:00
C-552-810,Circular Welded Carbon-Quality Steel Pipe From Vietnam,2011-10-26 00:00:00
A-570-979,"Crystalline Silicon Photovoltaic Cells, Whether or Not Assembled Into Modules From People Republic of China",2011-10-28 00:00:00
C-570-980,"Crystalline Silicon Photovoltaic Cells, Whether or Not Assembled Into Modules From People Republic of China",2011-11-07 00:00:00
A-552-812,Steel Wire Garment Hangers From Vietnam,2011-12-29 00:00:00
A-583-849,Steel Wire Garment Hangers From Taiwan,2011-12-29 00:00:00
C-552-813,Steel Wire Garment Hangers From Vietnam,2011-12-29 00:00:00
A-201-842,Large Residential Washers From Mexico,2012-01-09 00:00:00
A-580-868,Large Residential Washers From South Korea,2012-01-09 00:00:00
C-580-869,Large Residential Washers From South Korea,2012-01-11 00:00:00
A-570-981,Utility Scale Wind Towers From People Republic of China,2012-01-12 00:00:00
A-552-814,Utility Scale Wind Towers From Vietnam,2012-01-17 00:00:00
C-570-982,Utility Scale Wind Towers From People Republic of China,2012-01-17 00:00:00
A-570-894,Tissue Paper Products From People Republic of China,2012-03-08 00:00:00
A-570-983,Drawn Stainless Steel Sinks From People Republic of China,2012-03-09 00:00:00
C-570-984,Drawn Stainless Steel Sinks From People Republic of China,2012-03-15 00:00:00
C-570-944,Oil Country Tubular Goods From People Republic of China,2012-03-26 00:00:00
