"report_uuid","issue_ordi","registrant_name","client_name","issue_text","date_received"
"91ea927d-e0ed-57c1-9c7e-4b218b4d1124",2,"BROWNSTEIN, HYATT, FARBER, SCHRECK, LLP",NATIONAL BIODIESEL BOARD,General trade issues; issues related to antidumping case in Argentina,2020-07-20 00:00:00
"2e8a2757-65db-50d1-98c4-457ea20166b5",1,KELLEY DRYE & WARREN LLP,New Shipper Bond Petitioners Coalition,"Federal Policy regarding the distribution of duties collected on dumped Chinese imports to U.S. honey, crawfish, garlic, and canned mushroom producers under the Continued Dumping and Subsidy Offset Act (P.L. 106-387).",2020-07-20 00:00:00
c2747a45-c10b-5668-b38c-bdec3ef2d596,1,KELLEY DRYE & WARREN LLP,FRESH GARLIC PRODUCERS ASSOCIATION,Fraudulent claims made regarding the anti-dumping order on fresh garlic from China,2020-07-20 00:00:00
"5f591553-bfd0-54ea-b4d4-417789ebacfe",2,INTERNATIONAL WOOD PRODUCTS ASSOCIATION,International Wood Products Association,Importation of wood and wood products. Antidumping and countervailing duties. Wood products trade with Peru. Wood products trade with Brazil. The U.S.-Mexico-Canada Agreement. Application of TSCA import certification for composite wood products. USFWS implementation of new and existing timber species on appendicies of the Convention on International Trade in Endangered Species of Wild Fauna and Flora. Application of Section 301 tariffs to wood products.,2020-07-20 00:00:00
a9fd08d1-9736-5012-b2e1-199c9152268b,2,MICHIGAN FARM BUREAU,Michigan Farm Bureau,"MFB urged Congress to support H.R. 101/S. 16 the Defending Domestic Produce Production Act, a bill that would make it easier for a small seasonal, specialty crop industry to build and take a case against a foreign county that is believed to be dumping product below the cost of production or unfairly subsidized by their government. We also urged support of S. 564, the Self Initiation Trade Enforcement Act, a bill that would create a task force within the Department of Commerce that small seasonal specialty crop industries could petition in the event they believe they are being hurt by unfair foreign competition.
Farm Bureau urged the Administration to quickly finalize a trade deal with the Peoples Republic of China and end tariffs hurting US agricultural exports. Farm Bureau urged quick passage, and end to tariffs and expanded markets for U.S. agriculture. Farm Bureau supported the Phase I agreement reached in January.
We also communicated to USDA about a concern with competition our tart cherry industry is experiencing from the country of Turkey with little barriers to entry, in addition to seasonal competition to US asparagus growers from Mexico and Peru. Michigan Farm Bureau advocated for and supported the new trade agreement with Japan. Japan currently is the top 3 trade destination for Michigan agricultural products.
Michigan Farm Bureau also advocated for improved trade with the European Union. Trade between the two countries amounts to $1 trillion worth of goods and services annually and $3.7 trillion in two-way direct investment. The U.S. exported $12.7 billion in agricultural products to the EU in 2018, while the EU exported $23.7 billion in agricultural products to the U.S. Specifically, MFB advocated for the following points: Include all agricultural products and policies in the negotiations; Eliminate non-tariff trade barriers; Ensure market access for biotechnology products; Address issues concerning import-sensitive products; Oppose the Precautionary Principle; and Oppose the use of geographic indicators.",2020-07-20 00:00:00
"01e9e695-f939-517d-9a0e-0ffb3d7780f2",3,"CHAPMAN CAPITOL CONSULTING, INC.",DOYON LTD,Anti-dumping and countervailing duty investigations on fabricated structural steel,2020-07-20 00:00:00
ed73d847-168f-5f9a-88ad-69f983193b2e,3,CARMEN GROUP INCORPORATED,Ardagh Glass Inc.,Impact of Chinese dumping of glass products into US Markets,2020-07-20 00:00:00
ed73d847-168f-5f9a-88ad-69f983193b2e,2,CARMEN GROUP INCORPORATED,Ardagh Glass Inc.,Impact of Chinese dumping of glass products into US Markets,2020-07-20 00:00:00
ed73d847-168f-5f9a-88ad-69f983193b2e,1,CARMEN GROUP INCORPORATED,Ardagh Glass Inc.,Impact of Chinese dumping of glass products into US Markets,2020-07-20 00:00:00
dcc65f6c-06ca-50a5-b671-bee64aedbc22,5,"THE SMITH-FREE GROUP, LLC",RAI SERVICES COMPANY (formerly known as RJ Reynolds),"Discussions related to an ITC dumping review of foreign import product entering the U.S. market at less than fair value (LTFV).

Monitored discussions involving U.S. trade negotiations.

Monitored discussions and actions to combat global illicit tobacco trafficking.
",2020-07-20 00:00:00
"4a192b32-e564-5fb9-a180-f90170fbe092",1,WILLIAMSON LAW + POLICY PLLC,"RMS of Georgia, LLC d/b/a Choice Refrigerants",Enforcement of US antidumping and anticircumvention laws relating to refrigerant imports. Processing of Section 301 tariff exemptions.,2020-07-20 00:00:00
"2ee0ae28-d732-59d0-bd59-8032fe088e89",8,NATIONAL MARINE MANUFACTURERS ASSOCIATION,NATIONAL ASSOCIATION OF MANUFACTURERS,"retalitory tariffs on US boats from China, Canada, Mexico, and Europe; Bicameral Congressional Trade Authority Act of 2019 (H.R.940/S.287); Trade Security Act (H.R.1008/S.365); 301 tariff on marine products, 232 tariffs on steel and aluminum; antidumping and countervieling duties on Chinese aluminum sheet; tax on non-motorized vessels and paddlecraft
",2020-07-20 00:00:00
"172c334b-77c3-5dbb-be7d-ab4b9164f199",12,"UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS","United Automobile, Aerospace & Agricultural Implement Workers",Currency Manipulation; Encouraging U.S. Exports; Buy America; KORUS; Dumping; 232; Labor Rights; Trade Enforcement; Japan; Britain; China; Kenya; EU; EVs; Acceptance of US auto safety standards; TAA; USMCA; 232 Tariffs on Electrical Steel; The Market Economy Sourcing Act (S.4008); Brazil,2020-07-20 00:00:00
d3d45033-95f2-5006-8ae0-b36047d13bca,1,COALITION FOR A PROSPEROUS AMERICA,Coalition for a Prosperous America,"Ensuring all anti-dumping, countervailing duties, Section 232, 201, 301, and all other tariffs are left in place. Ending the bifacial solar tariff exemption to safeguard the US solar manufacturing industry.",2020-07-20 00:00:00
"269fc1c1-52b1-59e3-a7e0-df477f2bd2da",2,SIDLEY AUSTIN LLP,"Hyundai Power Transformers USA, Inc.",The calculation of Hyundai Power Transformer's dumping duties by the Department of Commerce,2020-07-20 00:00:00
"269fc1c1-52b1-59e3-a7e0-df477f2bd2da",1,SIDLEY AUSTIN LLP,"Hyundai Power Transformers USA, Inc.",The calculation of Hyundai Power Transformer's dumping duties by the Department of Commerce,2020-07-20 00:00:00
ca8395e3-6984-54ec-9a2f-75a39bd7fd94,11,ARKEMA INC.,ARKEMA INC,"Issues related to free trade agreements, including the U.S.- E.U. free trade agreement and other E.U.-related issues, USMCA, US-Japan agreement, U.S.-Brazil agreement and U.S.-India trade issues and trade barriers. Issues related to antidumping matters, tariffs (including Section 301 tariffs and Chinese import issues), duty suspensions, and per- and polyfluoroalkyl substances/materials and export/import regulations
",2020-07-20 00:00:00
"5bda8880-91e8-551a-961a-930d9e671059",2,WATKINSON MILLER PLLC,"TRUE SOURCE HONEY, LLC",Seek implementation of a standard of identity for honey; support for the Farm Bill; work with agency officials to investigate circumvention of the anti-dumping order on Chinese honey imports.,2020-07-17 00:00:00
b6702f12-d68d-5b47-8b4a-ea85a0d7bde0,8,"DUTKO WORLDWIDE, LLC",AMERICAN HOME FURNISHINGS ALLIANCE,Discuss impacts of scope ruling on anti-dumping orders. Monitor implementations on P.L. 111-199 on import certifications.,2020-07-17 00:00:00
"5bda8880-91e8-551a-961a-930d9e671059",3,WATKINSON MILLER PLLC,"TRUE SOURCE HONEY, LLC",Seek implementation of a standard of identity for honey; support for the Farm Bill; work with agency officials to investigate circumvention of the anti-dumping order on Chinese honey imports.,2020-07-17 00:00:00
"5bda8880-91e8-551a-961a-930d9e671059",1,WATKINSON MILLER PLLC,"TRUE SOURCE HONEY, LLC",Seek implementation of a standard of identity for honey; support for the Farm Bill; work with agency officials to investigate circumvention of the anti-dumping order on Chinese honey imports.,2020-07-17 00:00:00
a1d39c9c-b61a-5c40-9663-e2a683e2af78,13,"NEW YORK FARM BUREAU, INC.","NEW YORK FARM BUREAU, INC.","United-States-Mexico-Canada Agreement;
Vegetable Trade Letter regarding dumping of Canadian produce on to the U.S. Market.
",2020-07-16 00:00:00
deeb71c1-5a7b-59d5-9e53-bca7f84b164b,1,KING & SPALDING LLP,Polyethylene Retail Carrier Bag Committee (Informal Coalition),Preservation and enforcement of U.S. trade remedy laws; issues related to China antidumping enforcement,2020-07-16 00:00:00
"3049c60b-2423-5f0f-a4a4-1d3eea5086f2",1,KING & SPALDING LLP,American Furniture Manufacturers Committee for Legal Trade (Informal Coalition),China antidumping issues; trade issues related to enforcement of China dumping orders; furniture import evasion issues,2020-07-16 00:00:00
