date,headline
"August 17, 2020",Commerce Department Further Restricts Huawei Access to U.S. Technology and Adds  Another 38 Affiliates to the Entity List
"July 20, 2020",Commerce Department Adds Eleven Chinese Entities Implicated in Human Rights Abuses in Xinjiang to the Entity List
"May 22, 2020",Department of Commerce Asks for Public Input on Section 232 Steel and Aluminum Exclusion Process
"May 15, 2020","Commerce Addresses Huawei’s Efforts to Undermine Entity List, Restricts Products Designed and Produced with U.S. Technologies"
"May 15, 2020",Department of Commerce Issues Expected Final 90-Day Extension of Temporary General License Authorizations
"May 6, 2020",U.S. Department of Commerce to Initiate Section 232 Investigation into Mobile Crane Imports
"May 4, 2020","U.S. Secretary of Commerce Wilbur Ross to Initiate Section 232 Investigation into Imports of Laminations and Wound Cores for Incorporation into Transformers, Electrical Transformers, and Transformer Regulators"
"April 27, 2020","Commerce Tightens Restrictions on Technology Exports to Combat Chinese, Russian and Venezuelan Military Circumvention Efforts"
"March 25, 2020",Department of Commerce Extends Public Comment Period for Input on Huawei Temporary General License Extensions
"March 17, 2020",Secretary of Commerce Wilbur Ross Announces Additions to Entity List including Iranian Nuclear Scientists and Other Suppliers of Iran’s and Pakistan’s WMD Programs
"March 10, 2020",Department of Commerce Asks for Public Input on Huawei Temporary General License Extensions
"February 13, 2020",Department of Commerce Renews Temporary General License for 45 Days
"February 4, 2020",Statement of Secretary of Commerce Wilbur Ross on President Donald J. Trump's State of the Union Address
"February 4, 2020",Department of Commerce Issues Final Rule for Countervailing Unfair Currency Subsidies
"January 29, 2020",U.S. Department of Commerce Initiates Antidumping Duty (AD) And Countervailing Duty (CVD) Investigations of Imports of Wood Mouldings and Millwork Products from Brazil and China
"January 24, 2020","Commerce Finds Dumping of Imports of Fabricated Structural Steel from Canada, China, and Mexico, and Countervailable Subsidization of Imports of Fabricated Structural Steel from China and Mexico"
"January 23, 2020",U.S. Department of Commerce Announces Affirmative Preliminary Circumvention Ruling on Exports of Hydrofluorocarbon Blends from China
"January 9, 2020","U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Forged Steel Fluid End Blocks from China, Germany, India, and Italy"
"January 8, 2020",U.S. Department of Commerce Initiates Antidumping Duty Investigation of Imports of 4th Tier Cigarettes from Korea
"January 3, 2020",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Collated Steel Staples from China
"December 31, 2019",U.S. Secretary of Commerce Concludes Successful 2019
"December 16, 2019",U.S. Department of Commerce Announces Five Affirmative Final Circumvention Determinations on Steel Products from Vietnam
"December 9, 2019","U.S. Department of Commerce Issues Affirmative Preliminary Determinations in the Countervailing Duty Investigations of Imports of Wind Towers from Canada, Indonesia, and Vietnam"
"December 6, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Dried Tart Cherries from Turkey
"December 6, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determinations on Quartz Surface Products from India and Turkey
"December 4, 2019",U.S. Department of Commerce Finds Dumping of Imports of Carbon and Alloy Steel Threaded Rod from Taiwan
"November 25, 2019",U.S. Department of Commerce Finds Circumvention of Antidumping and Countervailing Duty Orders on Hardwood Plywood Products from China
"November 22, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Magnesium from Israel
"November 22, 2019",U.S. International Trade Commission Affirmative Injury Vote Reinforces Commerce’s Tomato Suspension Agreement
"November 18, 2019",U.S. Department of Commerce Extends Huawei Temporary General License
"November 14, 2019",U.S. Department of Commerce Finds Dumping and Countervailable Subsidization of Imports of Polyester Textured Yarn from China and India
"November 13, 2019",U.S. Department of Commerce Initiates Antidumping Duty and Countervailing Duty Investigations of Imports of Forged Steel Fittings from India and Korea
"November 7, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Antidumping Duty Determination on Ceramic Tile from China
"November 5, 2019",U.S. Department of Commerce Issues Affirmative Preliminary Determination in the Countervailing Duty Investigation of Imports of Steel Staples from China
