case_number,petition_date
A-570-928,
A-485-807,
A-570-082,2018-03-26
A-351-825,
A-570-914,
A-570-900,
A-457-804,
C-201-851,2019-02-19
A-570-055,2017-03-30
A-351-602,
C-570-128,2020-03-30
A-570-069,2018-01-30
A-412-988,
A-489-835,2019-04-22
A-580-855,
A-549-830,2013-05-16
A-823-809,
A-580-896,2017-09-25
A-122-863,2018-01-17
A-475-826,
A-580-909,2020-07-07
A-475-832,2015-06-12
A-588-847,
A-111-111,
A-475-601,
A-508-988,
A-583-835,
A-469-814,
A-570-848,
C-570-921,
A-570-860,
A-570-874,
A-570-121,2020-01-22
C-570-074,
A-570-135,2020-07-29
C-570-048,2016-04-18
A-570-108,2019-04-11
A-729-803,2020-03-18
C-570-061,2017-06-08
A-570-875,
A-570-849,
A-791-812,
A-469-815,2016-07-08
C-549-838,2018-03-28
A-583-820,
C-580-875,2014-05-30
C-523-802,2011-10-26
A-588-846,
A-580-908,2020-05-12
A-580-883,2015-08-10
A-580-897,2018-01-17
A-823-808,
A-549-831,2013-06-27
A-337-804,
C-533-989,
A-533-823,
A-489-820,2014-05-29
A-484-803,2018-01-17
A-580-868,2012-01-09
A-570-040,2016-01-28
C-570-115,2019-10-10
A-570-901,
A-351-824,
A-471-807,2015-01-20
A-570-097,2018-10-17
A-570-929,
A-570-095,2018-09-21
A-351-832,
A-022-022,
C-570-103,2019-02-22
C-201-846,2020-07-30
A-570-042,2016-02-19
A-570-056,2017-04-10
A-469-988,
A-479-988,
A-489-822,2014-10-16
A-549-833,2017-06-02
A-580-881,2015-08-11
A-580-895,2017-06-26
A-301-804,2020-04-27
A-000-000,
C-489-817,2013-12-18
A-583-605,
A-588-878,2018-03-27
C-580-877,2014-10-16
A-588-850,
C-580-888,2016-04-18
A-412-814,
A-469-817,2017-06-30
C-570-936,
A-570-863,
A-570-888,
A-570-122,2020-02-04
C-570-063,2017-07-17
A-428-830,
A-403-805,2017-03-07
A-428-825,
C-570-076,2017-12-27
A-570-862,
C-570-923,
C-570-089,2018-06-19
A-428-602,
A-469-816,2017-03-27
A-791-805,
A-535-905,2017-09-25
C-274-807,2014-11-24
A-412-801,
C-122-854,2015-02-26
A-583-837,
C-122-868,2019-07-17
C-851-989,
A-475-818,
A-588-845,
A-588-851,
A-000-015,
A-588-879,2020-07-28
A-475-824,
C-533-829,
A-000-001,
C-583-989,
A-893-001,2020-06-29
C-489-989,
A-580-894,2017-06-27
A-122-861,2017-08-09
A-580-880,2015-07-21
A-549-832,2013-07-11
A-533-820,
A-507-502,
A-489-837,2019-05-24
A-523-808,2014-05-29
A-533-808,
A-123-455,
C-570-116,2019-12-18
A-570-916,
A-022-023,
A-485-805,
A-351-837,
A-570-912,
A-570-084,2018-04-16
A-570-090,2018-08-09
A-570-047,2016-04-07
A-570-053,2017-03-08
A-533-824,
A-484-804,2020-03-17
A-489-833,2018-01-17
A-580-890,2016-08-03
A-122-859,2017-04-27
A-549-822,
C-523-811,2015-03-24
C-580-866,
A-588-869,2013-03-27
A-000-005,
A-475-834,2016-04-07
C-533-839,
A-475-820,
C-489-806,
A-583-833,
A-614-988,
A-570-866,
A-791-815,
A-729-804,2020-04-15
C-570-072,2017-11-30
A-570-133,2020-07-16
A-428-835,
A-570-899,
A-570-126,2020-04-06
A-570-898,
A-428-820,
A-403-801,
C-582-989,
A-469-807,
C-570-098,2018-10-25
C-570-926,
A-570-873,
C-580-898,2018-02-05
A-475-835,2016-07-13
C-580-873,2013-11-22
A-588-854,
A-588-707,
A-549-837,2018-03-27
A-580-891,2017-03-27
A-580-885,2016-03-09
A-122-864,2019-02-22
A-489-826,2015-08-10
C-559-989,
A-580-852,
C-421-989,
C-549-989,
C-570-113,2019-06-19
C-570-107,2019-03-14
A-022-024,
C-469-818,2017-07-03
A-570-905,
A-403-988,
A-570-093,2018-09-19
A-570-939,
C-201-854,2020-07-08
C-570-111,2019-05-16
C-570-105,2019-02-20
C-428-817,
A-570-044,2016-03-03
A-580-850,
A-489-818,2013-09-13
A-489-824,2015-07-21
A-508-812,2018-10-24
A-580-878,2015-06-12
A-580-893,2017-05-30
A-122-866,2019-03-27
A-580-887,2016-04-07
A-549-821,
A-549-835,2018-01-30
A-000-012,
C-549-828,2012-12-28
C-475-989,
A-583-830,
A-570-865,
C-351-829,
A-469-805,
C-570-059,2017-04-18
A-201-849,2018-09-19
A-471-988,
A-570-124,2020-03-17
C-570-065,2017-08-22
A-570-131,2020-06-26
C-570-070,2018-01-30
A-60-2807,
A-201-848,2016-08-03
A-570-119,2020-01-15
C-570-931,
A-570-864,
C-428-989,
A-583-831,
A-535-903,2015-10-28
A-475-836,2017-03-27
A-000-013,
A-475-822,
C-533-807,
A-588-857,
C-489-838,2019-05-24
A-588-843,
A-588-704,
A-549-820,
A-122-867,2019-07-24
A-823-819,2020-07-07
A-580-886,2016-03-28
A-301-803,2017-06-02
A-580-892,2017-04-18
A-559-808,2019-02-18
A-489-831,2017-03-27
C-580-910,2020-07-07
A-570-045,2016-03-31
A-570-051,2016-11-17
A-570-079,2018-01-25
A-570-086,2018-05-24
A-351-809,
A-570-092,2018-09-18
A-570-904,
